geometry,address
POINT (38.70483 48.68008),"Дачне, 93720, Луганська область, Україна"
POINT (37.07233 47.56007),"Красна Поляна, 85571, Донецька область, Україна"
POINT (32.1658196 46.239513),"Тендрівське, 75643, Херсонська область, Україна"
POINT (37.8590172 48.1270606),"Ясинувата, 86000-86015, Донецька область, Україна"
POINT (36.9421754 47.7075324),"Керменчик, 85561, Донецька область, Україна"
POINT (36.40351612303412 45.3715154),"Аэропорт Керчь, Вокзальне шосе, 298303, Вокзальне шосе, Евпатория, Республика Крым, Україна"
POINT (36.9355561 47.6275192),"Новопетриківка, 85570, Донецька область, Україна"
POINT (37.98283 49.66061),"Нова Тарасівка, Харківська область, Україна"
POINT (37.7688496 48.0805344),"Спартак, 86080, Донецька область, Україна"
POINT (34.934795 47.833755),"Нове Запоріжжя, 70422, Запорізька область, Україна"
POINT (39.4956573 48.6429638),"Станиця Луганська, Луганська область, Україна"
POINT (37.22494 47.70693),"Єгорівка, 85700, Донецька область, Україна"
POINT (37.6129934 48.2428705),"Очеретине, 86020, 86021, Донецька область, Україна"
POINT (38.029861 49.626621),"Софіївка, 92614, Луганська область, Україна"
POINT (33.21648 46.684681),"Обривка, 74994, Херсонська область, Україна"
POINT (37.55908 48.27985),"Новоолександрівка, 85352, Донецька область, Україна"
POINT (37.8209919 48.1477166),"Крута Балка, 86005, Донецька область, Україна"
POINT (37.95828 48.5279),"Кліщіївка, 84557, Донецька область, Україна"
POINT (37.682613 49.8509377),"Дворічна, 62709, Харківська область, Україна"
POINT (33.2632062 46.7491957),"Дніпряни, 74987, Херсонська область, Україна"
POINT (41.4994249 52.5870419),"Котовск, Тамбовская область, Россия"
POINT (38.052 48.15076),"Путепровід, 86499, Єнакієвська міська рада, Донецька область, Україна"
